notation,category,price_unit,pref_label_en,product_uri
SSP-STEEL-COMPOSITE,Slab Separator,m2,Steel deck / composite slab,https://example.org/abstract/slab-separator-product/SSP-STEEL-COMPOSITE
SSP-TIMBER,Slab Separator,m2,Timber slab / deck,https://example.org/abstract/slab-separator-product/SSP-TIMBER
SWP-BLT,Wall Separator,m2,Lightweight concrete panel (BLT) wall,https://example.org/abstract/wall-separator-product/SWP-BLT
SWP-CURTAIN-WALL,Wall Separator,m2,Curtain wall / facade system,https://example.org/abstract/wall-separator-product/SWP-CURTAIN-WALL
SWP-ELEMENT-WALL,Wall Separator,m2,Drywall / element partition wall,https://example.org/abstract/wall-separator-product/SWP-ELEMENT-WALL
SWP-LEICHTBAU,Wall Separator,m2,Lightweight construction wall,https://example.org/abstract/wall-separator-product/SWP-LEICHTBAU
SWP-MASONRY,Wall Separator,m2,Masonry wall,https://example.org/abstract/wall-separator-product/SWP-MASONRY
SWP-ORTBETON,Wall Separator,m3,In-situ concrete wall,https://example.org/abstract/wall-separator-product/SWP-ORTBETON
SWP-OTH,Wall Separator,m2,Other / unknown wall separator,https://example.org/abstract/wall-separator-product/SWP-OTH
SWP-PREFAB-CONC,Wall Separator,m3,Prefabricated concrete wall,https://example.org/abstract/wall-separator-product/SWP-PREFAB-CONC
SWP-RAMMED-EARTH,Wall Separator,m2,Rammed earth wall,https://example.org/abstract/wall-separator-product/SWP-RAMMED-EARTH
SWP-STEEL,Wall Separator,m2,Steel frame wall,https://example.org/abstract/wall-separator-product/SWP-STEEL
SWP-TIMBER,Wall Separator,m2,Timber frame wall,https://example.org/abstract/wall-separator-product/SWP-TIMBER
WCP-ARTIFICIAL-STONE,Wall Covering,m2,Artificial stone wall cladding,https://example.org/abstract/wall-covering-product/WCP-ARTIFICIAL-STONE
WCP-CERAMIC-TILE,Wall Covering,m2,Ceramic / porcelain wall tile,https://example.org/abstract/wall-covering-product/WCP-CERAMIC-TILE
WCP-NATURAL-STONE,Wall Covering,m2,Natural stone wall cladding,https://example.org/abstract/wall-covering-product/WCP-NATURAL-STONE
WCP-OTH,Wall Covering,m2,Other / unknown wall covering,https://example.org/abstract/wall-covering-product/WCP-OTH
WCP-PAINT,Wall Covering,m2,Interior paint finish,https://example.org/abstract/wall-covering-product/WCP-PAINT
WCP-SEAMLESS-COATING,Wall Covering,m2,Seamless wall coating,https://example.org/abstract/wall-covering-product/WCP-SEAMLESS-COATING
WCP-SYNTHETIC-PANEL,Wall Covering,m2,Synthetic wall panel,https://example.org/abstract/wall-covering-product/WCP-SYNTHETIC-PANEL
WCP-TEXTILE,Wall Covering,m2,Textile wall covering,https://example.org/abstract/wall-covering-product/WCP-TEXTILE
WCP-WALLPAPER,Wall Covering,m2,Wallpaper,https://example.org/abstract/wall-covering-product/WCP-WALLPAPER
WCP-WOOD-PANEL,Wall Covering,m2,Wood wall panel,https://example.org/abstract/wall-covering-product/WCP-WOOD-PANEL
WICP-ALUMINIUM,Window Connector,m2,Aluminium window system,https://example.org/abstract/window-connector-product/WICP-ALUMINIUM
WICP-FACADE-UNIT,Window Connector,m2,Facade glazing unit,https://example.org/abstract/window-connector-product/WICP-FACADE-UNIT
WICP-OTH,Window Connector,m2,Other / unknown window,https://example.org/abstract/window-connector-product/WICP-OTH
WICP-PVC,Window Connector,m2,Plastic / PVC window system,https://example.org/abstract/window-connector-product/WICP-PVC
WICP-SKYLIGHT,Window Connector,pcs,Roof window / skylight,https://example.org/abstract/window-connector-product/WICP-SKYLIGHT
WICP-SPECIAL,Window Connector,m2,Special transparent opening,https://example.org/abstract/window-connector-product/WICP-SPECIAL
WICP-STEEL,Window Connector,m2,Steel window system,https://example.org/abstract/window-connector-product/WICP-STEEL
WICP-WOOD,Window Connector,m2,Wood window system,https://example.org/abstract/window-connector-product/WICP-WOOD
WICP-WOOD-METAL,Window Connector,m2,Wood–metal composite window,https://example.org/abstract/window-connector-product/WICP-WOOD-METAL
