product,product_uri,material_cost,price_unit,waste_pct,transport_pct,delivered_material_cost,material_cost_low,material_cost_high,delivered_material_cost_low,delivered_material_cost_high,onsite_labor_hours_per_unit,onsite_labor_hours_low,onsite_labor_hours_high,offsite_labor_hours_per_unit,offsite_labor_hours_low,offsite_labor_hours_high,material_low_pct,material_high_pct,labor_low_pct,labor_high_pct,provenance_status,demolition_hours_per_unit,demolition_disposal_cost,observation_count,reference_sources
RCP-METAL-SHEET,https://example.org/abstract/roof-covering-product/RCP-METAL-SHEET,80.0,m2,0.07,0.04,89.0,70.4,94.4,78.3,105.0,1.8,1.62,2.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-OTH,https://example.org/abstract/roof-covering-product/RCP-OTH,50.0,m2,0.07,0.04,55.6,44.0,59.0,48.9,65.6,1.6,1.44,2.0,,,,-0.12,0.18,-0.1,0.25,estimated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-PV-ROOF,https://example.org/abstract/roof-covering-product/RCP-PV-ROOF,260.0,m2,0.07,0.04,289.3,228.8,306.8,254.6,341.4,3.0,2.7,3.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-SLATE,https://example.org/abstract/roof-covering-product/RCP-SLATE,110.0,m2,0.07,0.04,122.4,96.8,129.8,107.7,144.4,2.8,2.52,3.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-TILE-CLAY,https://example.org/abstract/roof-covering-product/RCP-TILE-CLAY,48.0,m2,0.07,0.04,53.4,42.2,56.6,47.0,63.0,1.6,1.44,2.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-TILE-CONCRETE,https://example.org/abstract/roof-covering-product/RCP-TILE-CONCRETE,38.0,m2,0.07,0.04,42.3,33.4,44.8,37.2,49.9,1.5,1.35,1.88,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-WOOD-SHINGLE,https://example.org/abstract/roof-covering-product/RCP-WOOD-SHINGLE,85.0,m2,0.07,0.04,94.6,74.8,100.3,83.2,111.6,2.4,2.16,3.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SRP-OTH,https://example.org/abstract/stair-product/SRP-OTH,480.0,m3,0.05,0.06,534.2,422.4,566.4,470.1,630.4,24.0,21.6,30.0,,,,-0.12,0.18,-0.1,0.25,estimated,1.2,18.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
SRP-RC,https://example.org/abstract/stair-product/SRP-RC,480.0,m3,0.05,0.06,534.2,422.4,566.4,470.1,630.4,24.0,21.6,30.0,,,,-0.12,0.18,-0.1,0.25,estimated,1.2,18.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
SRP-STEEL,https://example.org/abstract/stair-product/SRP-STEEL,22000.0,m3,0.05,0.06,24486.0,19360.0,25960.0,21547.7,28893.5,90.0,81.0,112.5,,,,-0.12,0.18,-0.1,0.25,estimated,1.2,18.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
SRP-TIMBER,https://example.org/abstract/stair-product/SRP-TIMBER,2500.0,m3,0.05,0.06,2782.5,2200.0,2950.0,2448.6,3283.3,35.0,31.5,43.75,,,,-0.12,0.18,-0.1,0.25,estimated,1.2,18.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
SSP-CLT,https://example.org/abstract/slab-separator-product/SSP-CLT,95.0,m2,0.05,0.06,105.7,83.6,112.1,93.0,124.7,1.0,0.9,1.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-HBV,https://example.org/abstract/slab-separator-product/SSP-HBV,135.0,m2,0.05,0.06,150.3,118.8,159.3,132.3,177.4,1.8,1.62,2.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-HOLZ-LEHM,https://example.org/abstract/slab-separator-product/SSP-HOLZ-LEHM,115.0,m2,0.05,0.06,128.0,101.2,135.7,112.6,151.0,2.0,1.8,2.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-INSITU,https://example.org/abstract/slab-separator-product/SSP-INSITU,42.0,m2,0.05,0.06,46.7,37.0,49.6,41.1,55.1,2.52,2.27,3.15,,,,-0.12,0.18,-0.1,0.25,estimated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-LIGHTWEIGHT,https://example.org/abstract/slab-separator-product/SSP-LIGHTWEIGHT,62.0,m2,0.05,0.06,69.0,54.6,73.2,60.7,81.4,1.1,0.99,1.38,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-OTH,https://example.org/abstract/slab-separator-product/SSP-OTH,55.0,m2,0.05,0.06,61.2,48.4,64.9,53.9,72.2,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,estimated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-PREFAB-CONC,https://example.org/abstract/slab-separator-product/SSP-PREFAB-CONC,60.0,m2,0.05,0.06,66.8,52.8,70.8,58.8,78.8,1.0,0.9,1.25,2.0,1.8,2.5,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,10.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-STEEL-COMPOSITE,https://example.org/abstract/slab-separator-product/SSP-STEEL-COMPOSITE,95.0,m2,0.05,0.06,105.7,83.6,112.1,93.0,124.7,1.4,1.26,1.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SSP-TIMBER,https://example.org/abstract/slab-separator-product/SSP-TIMBER,70.0,m2,0.05,0.06,77.9,61.6,82.6,68.6,91.9,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.9,14.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-BLT,https://example.org/abstract/wall-separator-product/SWP-BLT,90.0,m2,0.05,0.05,99.2,79.2,106.2,87.3,117.1,1.3,1.17,1.62,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-CURTAIN-WALL,https://example.org/abstract/wall-separator-product/SWP-CURTAIN-WALL,280.0,m2,0.05,0.05,308.7,246.4,330.4,271.7,364.3,3.0,2.7,3.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-ELEMENT-WALL,https://example.org/abstract/wall-separator-product/SWP-ELEMENT-WALL,60.0,m2,0.05,0.05,66.2,52.8,70.8,58.3,78.1,0.9,0.81,1.12,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-LEICHTBAU,https://example.org/abstract/wall-separator-product/SWP-LEICHTBAU,34.0,m2,0.05,0.05,37.5,29.9,40.1,33.0,44.2,1.0,0.9,1.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-MASONRY,https://example.org/abstract/wall-separator-product/SWP-MASONRY,42.0,m2,0.05,0.05,46.3,37.0,49.6,40.7,54.6,1.5,1.35,1.88,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-ORTBETON,https://example.org/abstract/wall-separator-product/SWP-ORTBETON,30.0,m2,0.05,0.05,33.1,26.4,35.4,29.1,39.1,1.9,1.71,2.38,,,,-0.12,0.18,-0.1,0.25,estimated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-OTH,https://example.org/abstract/wall-separator-product/SWP-OTH,60.0,m2,0.05,0.05,66.2,52.8,70.8,58.3,78.1,1.5,1.35,1.88,,,,-0.12,0.18,-0.1,0.25,estimated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-PREFAB-CONC,https://example.org/abstract/wall-separator-product/SWP-PREFAB-CONC,38.0,m2,0.05,0.05,41.9,33.4,44.8,36.9,49.4,0.24,0.22,0.3,0.6,0.54,0.75,-0.12,0.18,-0.1,0.25,estimated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-RAMMED-EARTH,https://example.org/abstract/wall-separator-product/SWP-RAMMED-EARTH,80.0,m2,0.05,0.05,88.2,70.4,94.4,77.6,104.1,4.0,3.6,5.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-STEEL,https://example.org/abstract/wall-separator-product/SWP-STEEL,72.0,m2,0.05,0.05,79.4,63.4,85.0,69.9,93.7,1.6,1.44,2.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
SWP-TIMBER,https://example.org/abstract/wall-separator-product/SWP-TIMBER,58.0,m2,0.05,0.05,63.9,51.0,68.4,56.2,75.4,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.8,12.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-ARTIFICIAL-STONE,https://example.org/abstract/wall-covering-product/WCP-ARTIFICIAL-STONE,77.0,m2,0.08,0.03,85.7,67.8,90.9,75.4,101.1,1.8,1.62,2.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-CERAMIC-TILE,https://example.org/abstract/wall-covering-product/WCP-CERAMIC-TILE,34.0,m2,0.08,0.03,37.8,29.9,40.1,33.3,44.6,1.3,1.17,1.62,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-NATURAL-STONE,https://example.org/abstract/wall-covering-product/WCP-NATURAL-STONE,130.0,m2,0.08,0.03,144.6,114.4,153.4,127.2,170.6,2.4,2.16,3.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-OTH,https://example.org/abstract/wall-covering-product/WCP-OTH,20.0,m2,0.08,0.03,22.2,17.6,23.6,19.5,26.2,0.6,0.54,0.75,,,,-0.12,0.18,-0.1,0.25,estimated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-PAINT,https://example.org/abstract/wall-covering-product/WCP-PAINT,7.0,m2,0.08,0.03,7.8,6.2,8.3,6.9,9.2,0.4,0.36,0.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-SEAMLESS-COATING,https://example.org/abstract/wall-covering-product/WCP-SEAMLESS-COATING,31.0,m2,0.08,0.03,34.5,27.3,36.6,30.4,40.7,1.1,0.99,1.38,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-SYNTHETIC-PANEL,https://example.org/abstract/wall-covering-product/WCP-SYNTHETIC-PANEL,39.0,m2,0.08,0.03,43.4,34.3,46.0,38.2,51.2,1.0,0.9,1.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-TEXTILE,https://example.org/abstract/wall-covering-product/WCP-TEXTILE,45.0,m2,0.08,0.03,50.1,39.6,53.1,44.1,59.1,1.4,1.26,1.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-WALLPAPER,https://example.org/abstract/wall-covering-product/WCP-WALLPAPER,15.0,m2,0.08,0.03,16.7,13.2,17.7,14.7,19.7,0.6,0.54,0.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WCP-WOOD-PANEL,https://example.org/abstract/wall-covering-product/WCP-WOOD-PANEL,53.0,m2,0.08,0.03,59.0,46.6,62.5,51.9,69.6,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-ALUMINIUM,https://example.org/abstract/window-connector-product/WICP-ALUMINIUM,440.0,m2,0.02,0.04,466.8,387.2,519.2,410.8,550.8,2.0,1.8,2.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-FACADE-UNIT,https://example.org/abstract/window-connector-product/WICP-FACADE-UNIT,690.0,m2,0.02,0.04,732.0,607.2,814.2,644.2,863.8,4.0,3.6,5.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-OTH,https://example.org/abstract/window-connector-product/WICP-OTH,390.0,m2,0.02,0.04,413.7,343.2,460.2,364.1,488.2,2.2,1.98,2.75,,,,-0.12,0.18,-0.1,0.25,estimated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-PVC,https://example.org/abstract/window-connector-product/WICP-PVC,240.0,m2,0.02,0.04,254.6,211.2,283.2,224.0,300.4,1.6,1.44,2.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-SKYLIGHT,https://example.org/abstract/window-connector-product/WICP-SKYLIGHT,466.7,m2,0.02,0.04,495.1,410.7,550.7,435.7,584.2,2.33,2.1,2.91,,,,-0.12,0.18,-0.1,0.25,estimated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-SPECIAL,https://example.org/abstract/window-connector-product/WICP-SPECIAL,770.0,m2,0.02,0.04,816.8,677.6,908.6,718.8,963.8,3.5,3.15,4.38,,,,-0.12,0.18,-0.1,0.25,estimated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-STEEL,https://example.org/abstract/window-connector-product/WICP-STEEL,610.0,m2,0.02,0.04,647.1,536.8,719.8,569.4,763.6,3.0,2.7,3.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-WOOD,https://example.org/abstract/window-connector-product/WICP-WOOD,370.0,m2,0.02,0.04,392.5,325.6,436.6,345.4,463.1,2.0,1.8,2.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
WICP-WOOD-METAL,https://example.org/abstract/window-connector-product/WICP-WOOD-METAL,500.0,m2,0.02,0.04,530.4,440.0,590.0,466.8,625.9,2.2,1.98,2.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
